dummy,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
1,8644300200,6/5/2014,4,2.75,2020,10720,1,0,0,4,8,1420,600,1976,0,98052,47.6373,-122.104,2190,10164,5.55
1,1232000810,3/26/2015,3,2.5,1400,4800,1,0,0,3,7,1200,200,1921,0,98117,47.6865,-122.379,1440,3840,5.37
1,6829900080,3/30/2015,3,1.5,1400,9750,1,0,0,4,6,1400,0,1964,0,98030,47.3768,-122.17,1160,9750,2.75
1,6205500580,12/10/2014,3,2.5,2640,13775,1,0,0,3,8,1550,1090,1978,0,98005,47.5875,-122.177,2120,12432,5.3
1,7173700518,7/21/2014,3,1.5,2540,9520,1,0,0,3,8,1500,1040,1959,0,98115,47.6834,-122.306,1870,6800,6.9
1,1423089134,8/15/2014,3,2.25,2680,41250,2,0,0,3,7,2680,0,1984,0,98045,47.4817,-121.749,1940,47044,5.9
1,3819750170,3/10/2015,3,2.75,2080,9600,1,0,0,3,7,2080,0,1988,0,98028,47.7698,-122.238,2220,9600,4.15
1,1036700220,11/10/2014,4,2,2410,4680,2,0,0,3,9,2410,0,1974,0,98008,47.6234,-122.113,1910,4611,4.7
1,2207100405,5/6/2015,4,1.75,1730,7245,1,0,0,4,7,880,850,1955,0,98007,47.5995,-122.144,1550,7245,4.23
1,3222049151,10/30/2014,3,2.5,2990,10711,1,1,4,3,9,1560,1430,1976,1991,98198,47.3573,-122.324,2870,11476,8.2
1,1995200320,2/10/2015,3,2.25,1220,5739,1,0,0,3,7,790,430,1984,0,98115,47.6952,-122.326,1870,5739,2.8
1,2917200675,1/27/2015,2,1.75,1500,4158,1,0,0,4,7,1220,280,1947,0,98103,47.7006,-122.35,1270,4081,3.4
1,5437820020,8/7/2014,3,1.75,1580,7875,1,0,0,3,7,1580,0,1979,0,98022,47.1958,-122.003,1560,8314,1.95
1,9284801500,12/11/2014,3,3,1860,2875,2,0,0,3,8,1710,150,2009,0,98126,47.5511,-122.373,1350,4830,3.9995
1,6145600557,5/9/2014,2,1.5,1020,1525,2,0,0,3,7,1020,0,2004,0,98133,47.704,-122.347,1020,3844,2.12
1,8850000509,9/23/2014,2,1.5,1620,1444,2,0,0,3,9,1080,540,2007,0,98144,47.5892,-122.309,1660,1642,5.25
1,1922059102,9/24/2014,2,1.75,1840,7230,1,0,0,3,7,1570,270,1938,0,98030,47.3815,-122.228,1282,6769,2.45
1,4397010350,1/26/2015,4,2.5,2490,9346,2,0,2,3,9,2490,0,1996,0,98042,47.3831,-122.147,2650,9454,3.649
1,7701961030,1/29/2015,4,2.5,3600,21794,2,0,0,4,11,3600,0,1990,0,98077,47.7121,-122.072,3410,19864,8.75
1,4046500140,2/9/2015,3,1.75,1410,15134,1,0,0,3,7,1410,0,1980,0,98014,47.6931,-121.921,1770,15337,3.15
1,2568800121,9/11/2014,4,1.75,1540,8311,1,0,0,4,7,1540,0,1950,0,98125,47.7046,-122.293,1890,7996,5.125
1,2473500110,1/12/2015,3,1.75,1770,16909,1,0,0,5,8,1770,0,1977,0,98058,47.4458,-122.134,1960,9100,4.1995
1,2923500550,6/25/2014,3,2.25,2680,9162,1,0,0,3,8,1570,1110,1978,0,98027,47.5683,-122.091,2480,8261,5.9999
1,3904960690,4/17/2015,3,2.5,2120,7401,2,0,0,3,8,2120,0,1989,0,98029,47.5781,-122.018,2010,7972,6.12
1,255450410,8/4/2014,3,2.5,2060,4200,2,0,0,3,8,2060,0,2014,0,98038,47.3706,-122.018,2370,4200,3.39989
1,3066120030,1/27/2015,4,3.75,3810,9916,2,0,0,3,11,3810,0,1989,0,98040,47.5739,-122.234,3040,11250,15.8
1,4307330180,3/28/2015,3,2.5,1670,5090,2,0,0,3,7,1670,0,2003,0,98056,47.4799,-122.18,2560,4851,3.48
1,2675600025,3/27/2015,3,1.75,2140,7280,1,0,0,3,7,1070,1070,1910,0,98117,47.6993,-122.377,2280,8400,6.035
1,9348700480,7/15/2014,4,2.5,3290,8147,2,0,0,3,10,3290,0,2003,0,98052,47.7048,-122.107,3290,7467,8.565
1,7752700110,6/18/2014,5,2.25,1870,11411,1,0,0,4,8,1170,700,1961,0,98155,47.7445,-122.289,2420,10793,5.54
1,2009001600,5/6/2015,3,1,1070,9000,1,0,0,4,7,1070,0,1950,0,98198,47.4061,-122.33,1840,12000,2.65
1,7658600025,7/9/2014,3,1,1410,7200,2,0,0,4,6,1410,0,1901,0,98144,47.5924,-122.302,1640,7200,7.0
1,9262800002,7/8/2014,3,1.5,1460,15000,1,0,0,3,7,1460,0,1966,0,98001,47.3182,-122.271,1510,15000,2.32
1,3056700150,6/25/2014,3,2,1190,6833,1,0,0,3,7,1190,0,1995,0,98092,47.3191,-122.18,1540,8000,2.0
1,5490700035,8/7/2014,4,1.5,1870,7220,2,0,0,3,7,1870,0,1956,0,98155,47.77,-122.319,1550,7592,3.25
1,7202350060,9/8/2014,3,2.5,1690,2890,2,0,0,3,7,1690,0,2004,0,98053,47.6802,-122.031,1690,2730,4.75
1,7974200776,12/5/2014,4,2.75,2140,4000,1,0,0,3,7,1190,950,1951,0,98115,47.6792,-122.287,2140,4770,6.25
1,2781250150,4/23/2015,4,2.5,2990,6383,2,0,0,3,7,2990,0,2003,0,98038,47.3499,-122.027,2640,6454,4.45
1,3275760190,6/24/2014,4,1.75,1740,7700,1,0,0,5,7,1740,0,1968,0,98008,47.6259,-122.111,1740,8120,6.0
1,1121059105,7/8/2014,3,2.5,2860,43821,2,0,0,4,9,2860,0,1990,0,98092,47.3163,-122.142,2370,65340,3.785
1,1566100450,4/28/2015,3,2,1110,8375,1,0,0,5,7,1110,0,1951,0,98115,47.6978,-122.297,1410,7734,5.05
1,9513900050,8/12/2014,3,2,1210,6634,1,0,0,4,7,1210,0,1985,0,98031,47.4097,-122.193,1560,7200,2.37
1,7625702616,11/21/2014,2,2.5,809,940,2,0,0,3,7,809,0,2003,0,98136,47.5499,-122.384,1260,4240,2.19
1,5072420040,9/10/2014,3,2.5,2080,8690,1,0,0,3,8,1430,650,1974,0,98166,47.4424,-122.344,2400,9625,5.4995
1,1562200040,4/7/2015,5,2.25,2180,6000,1,0,0,4,8,1430,750,1966,0,98007,47.6235,-122.143,2160,8800,6.35
1,8917100206,7/18/2014,4,1.5,1960,12688,1.5,0,0,4,7,1960,0,1962,0,98052,47.6304,-122.097,2050,9375,4.42
1,1355200060,9/4/2014,4,2.5,3300,10764,1,0,0,4,9,1720,1580,1971,0,98177,47.7119,-122.365,2290,10975,7.65
1,2025700730,5/2/2014,3,3,1850,19966,1,0,0,4,7,1090,760,1992,0,98038,47.3493,-122.034,1410,6715,2.872
1,6113400047,3/31/2015,4,2.25,2410,14985,1,0,1,4,7,1950,460,1965,0,98166,47.4278,-122.343,2510,15256,5.3
1,767000159,8/21/2014,3,3.5,1500,1471,3,0,0,3,7,1500,0,1999,0,98177,47.7034,-122.362,1500,1445,3.379
1,2115510160,12/8/2014,3,1.75,1440,8050,1,0,0,3,8,1440,0,1985,0,98023,47.3187,-122.39,1790,7488,2.5895
1,6381500170,8/26/2014,2,1,910,7617,1,0,0,3,6,910,0,1936,0,98125,47.7332,-122.305,1310,6624,2.35
1,2548100180,5/7/2014,3,2,1570,7200,1,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,7434,3.35
1,2122059077,9/15/2014,2,1,1210,18700,1,0,0,4,7,1210,0,1940,0,98042,47.3752,-122.166,2250,10048,1.989
1,4307320280,7/30/2014,4,2.5,2160,5455,2,0,0,3,7,2160,0,2003,0,98056,47.4799,-122.183,2160,5257,3.4
1,1556200145,10/7/2014,4,2,1710,3875,1.5,0,0,4,7,1710,0,1907,0,98122,47.6086,-122.294,1710,3812,5.65
1,2131200766,5/22/2014,3,1.5,2320,7500,1,0,0,3,7,2320,0,1976,0,98019,47.7413,-121.979,1480,10000,3.07
1,1441600020,5/27/2014,5,4,3720,15200,2,0,0,3,10,3720,0,2005,0,98075,47.5956,-122.026,4100,19036,9.6
1,9530100921,10/27/2014,4,1.5,1220,3780,1.5,0,0,3,7,1220,0,1927,0,98107,47.6667,-122.36,1400,3185,4.83
1,2143700830,10/6/2014,4,2.5,2100,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23,1340,12300,2.07
1,1151100165,7/16/2014,2,1,1000,31838,1,0,0,3,7,1000,0,1962,0,98045,47.4789,-121.779,1490,39747,2.863
1,2475900565,3/9/2015,3,1,1390,10500,1.5,0,0,3,6,1390,0,1940,0,98024,47.567,-121.893,1350,9800,3.925
1,1645000097,8/9/2014,3,1.75,1300,8500,1,0,0,4,7,1300,0,1964,0,98022,47.209,-122.005,1410,7800,2.49
1,4113800500,2/12/2015,3,2.5,2490,7589,2,0,0,3,9,2490,0,1991,0,98056,47.5355,-122.179,2500,10386,5.725
1,5700000465,9/4/2014,3,2.5,3000,5000,1.5,0,0,4,7,2110,890,1918,0,98144,47.5781,-122.293,1970,5000,6.66
1,7116000225,2/20/2015,3,1,1510,8760,1,0,0,4,6,1510,0,1946,0,98002,47.3015,-122.216,1040,7828,1.9
1,2218000335,7/7/2014,3,1.75,1320,2500,1,0,0,3,7,870,450,1918,0,98105,47.6681,-122.305,1580,2750,5.3
1,2591720360,12/26/2014,3,2.5,2750,37096,2,0,0,3,9,2750,0,1989,0,98038,47.3732,-122.023,2700,40091,3.75
1,381000240,8/6/2014,4,1.75,2340,5940,1,0,0,3,8,1290,1050,1953,0,98115,47.6789,-122.281,1930,5940,6.505
1,6788200360,9/3/2014,3,2.25,2180,4200,1.5,0,0,5,8,1520,660,1939,0,98112,47.6412,-122.302,1850,4200,7.27
1,2028700360,5/23/2014,3,1.75,1620,3975,1,0,0,5,7,940,680,1926,0,98117,47.6786,-122.368,1320,3922,6.41
1,8643200061,6/26/2014,5,2.5,2500,9583,1,0,0,3,7,1300,1200,1979,0,98198,47.3946,-122.312,2120,19352,2.35
1,8682281960,6/3/2014,2,2.5,2680,11214,1,0,0,3,9,2680,0,2006,0,98053,47.7078,-122.019,2305,6908,9.3
1,3330500085,9/18/2014,2,1,1210,3090,1,0,0,3,6,860,350,1926,0,98118,47.5532,-122.277,1210,3348,3.66
1,3056000050,9/12/2014,3,1.5,1400,6527,1,0,0,3,7,1110,290,1957,0,98166,47.4535,-122.358,1690,7597,2.65
1,1446800660,3/16/2015,4,1.75,1400,6650,1.5,0,0,4,6,1400,0,1942,0,98168,47.4888,-122.332,1120,8645,2.765
1,2597520090,6/22/2014,4,2.5,2810,10613,2,0,0,3,9,2810,0,1989,0,98006,47.5424,-122.141,2800,9933,8.1
1,98000750,10/21/2014,5,3.75,4220,15959,2,0,0,3,11,4220,0,2004,0,98075,47.5869,-121.967,4630,16531,11.7
1,6117501755,12/30/2014,4,1.5,2230,11536,1,0,1,4,7,1220,1010,1954,0,98166,47.4409,-122.348,2170,12465,3.55
1,6669010120,6/24/2014,4,2.5,2510,7992,1,0,0,3,8,1610,900,1978,0,98032,47.3715,-122.285,2030,7992,3.19
1,1472330030,3/24/2015,3,2.75,2460,6413,2,0,0,3,9,2460,0,2004,0,98028,47.7497,-122.245,2440,6092,6.46
1,5631500594,9/23/2014,3,2.25,1840,9929,1,0,0,3,7,1200,640,1987,0,98028,47.7408,-122.236,1710,9929,3.5
1,1117200170,9/19/2014,4,3.5,3260,110579,2,0,0,3,10,3260,0,1997,0,98053,47.6436,-121.997,3470,97895,7.15
1,6384500581,6/18/2014,3,1.75,2040,6000,1,0,0,5,7,1120,920,1958,0,98116,47.5688,-122.397,1530,6250,5.55
1,7167000040,8/13/2014,4,3,3350,199253,2,0,0,3,10,3350,0,2004,0,98010,47.3602,-121.988,3350,183897,7.4
1,8856004786,7/29/2014,3,2.5,2217,8019,2,0,0,3,7,2217,0,2009,0,98001,47.2776,-122.251,1470,8037,2.75
1,8658301060,8/20/2014,2,1.75,1160,2500,2,0,0,3,7,1160,0,2008,0,98014,47.6489,-121.911,970,7500,3.1
1,4331000595,9/10/2014,3,1,1690,13184,1,0,0,4,7,1690,0,1959,0,98166,47.476,-122.343,1130,13451,2.6
1,3031200165,6/11/2014,3,1.5,1160,8906,1,0,0,3,7,1160,0,1962,0,98118,47.5362,-122.29,1160,8906,2.625
1,1326069191,2/2/2015,3,2.25,1840,9781,2,0,0,3,7,1840,0,1989,0,98019,47.7347,-121.976,1490,10101,3.34
1,5067400032,12/5/2014,3,2.5,3070,14400,1,0,3,5,9,1720,1350,1985,0,98198,47.3716,-122.321,2020,18211,5.5
1,7701990040,6/17/2014,4,3.5,3860,18334,2,0,0,3,10,3120,740,1996,0,98077,47.7095,-122.075,3550,18334,8.4
1,3166900200,3/31/2015,3,2.5,2424,5931,2,0,0,3,9,2424,0,2014,0,98042,47.3515,-122.134,2424,6036,3.75
1,259100110,6/18/2014,3,1.75,1970,8200,1,0,0,5,8,1420,550,1963,0,98177,47.7602,-122.363,2140,8000,5.4
1,2473380400,5/19/2014,4,1.75,2310,8045,1,0,0,4,7,1650,660,1976,0,98058,47.4569,-122.165,1790,8086,3.1995
1,3438503120,3/30/2015,4,1,1770,7345,1.5,0,0,3,7,1770,0,1966,0,98106,47.5393,-122.351,1580,7345,2.75
1,2202500110,8/5/2014,3,1.5,1690,9708,1.5,0,0,5,7,1690,0,1954,0,98006,47.5732,-122.136,1570,9858,4.3
1,1923000030,7/28/2014,4,2.5,3840,16619,2,0,1,4,10,3840,0,1983,0,98040,47.5634,-122.213,3600,16553,11.2
1,4204400098,1/19/2015,5,1.75,2190,8250,1,0,2,3,7,1190,1000,1963,0,98055,47.4887,-122.223,2570,8250,2.5
1,6818400110,12/3/2014,4,1.5,2040,10488,1,0,0,3,7,1190,850,1961,0,98188,47.4557,-122.269,1960,10488,2.61
1,6430000275,5/6/2014,3,2,1420,4080,1.5,0,0,3,7,1420,0,1905,2013,98103,47.6872,-122.349,1420,4590,4.85
1,1952200410,11/19/2014,3,2.5,2010,6857,1,0,0,4,9,1450,560,1955,0,98102,47.6402,-122.314,2380,6370,9.6
1,1176001124,2/24/2015,3,2.5,1480,1531,3,0,0,3,8,1480,0,2014,0,98107,47.669,-122.402,1530,1321,5.9895
1,5130000090,9/9/2014,3,2.5,2540,11562,1,0,1,3,8,1290,1250,1964,0,98028,47.7614,-122.229,2230,10310,3.7495
1,5453700020,8/25/2014,3,2.25,2180,9865,1,0,0,4,8,1660,520,1966,0,98040,47.5358,-122.235,2600,10034,9.1
1,3754700420,4/1/2015,3,1,1310,8400,1,0,0,3,7,1310,0,1972,1989,98034,47.7253,-122.197,1680,8000,3.75
1,1972200382,11/21/2014,2,1.5,1010,948,3,0,0,3,8,1010,0,1999,0,98103,47.6529,-122.355,1330,1318,3.87
1,8078550610,1/20/2015,4,2.75,2180,8475,1,0,0,4,7,1330,850,1987,0,98031,47.4045,-122.174,1500,7140,2.79
1,7881500330,3/4/2015,3,1.75,1900,5000,1,0,0,4,7,950,950,1925,0,98106,47.5677,-122.363,1420,5000,5.15
1,3528000210,3/23/2015,4,2.25,3440,35025,2,0,0,3,10,3440,0,1988,0,98053,47.6674,-122.055,3210,35005,8.53
1,7132300525,4/11/2015,3,1.75,1530,825,3,0,0,3,8,1530,0,2015,0,98144,47.5929,-122.308,1580,1915,5.0
1,7899800730,3/24/2015,3,2.5,1350,1189,2,0,0,3,7,1080,270,2007,0,98106,47.5218,-122.358,1300,1182,2.7
1,854000165,1/7/2015,3,1.5,1400,7582,1,0,0,3,7,1400,0,1956,0,98148,47.4536,-122.33,1280,7872,2.85
1,204000175,7/31/2014,3,2,1680,8946,1,0,0,3,6,940,740,1996,0,98053,47.6379,-121.966,1550,11625,3.81
1,1149600120,8/20/2014,4,2.5,2650,9990,2,0,0,3,10,2650,0,1990,0,98029,47.5605,-122.016,2710,8012,6.95
1,7922800400,8/27/2014,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,9.51
1,7254000050,2/24/2015,3,2.5,1730,2631,2,0,0,3,8,1730,0,2001,0,98005,47.5878,-122.165,1730,2751,5.96
1,2354300740,3/3/2015,3,1,1580,6000,1,0,0,5,7,1580,0,1947,0,98027,47.5286,-122.032,1580,6000,5.51
1,2451000070,4/2/2015,4,2.5,2770,8879,2,0,0,3,9,2770,0,2001,0,98004,47.5831,-122.193,2770,8882,14.0
1,6790900110,6/10/2014,3,2.75,2340,16500,1,0,0,4,8,1500,840,1972,0,98075,47.5952,-122.051,2210,15251,5.63
1,1781500435,2/25/2015,3,1.75,1580,7344,1,0,0,5,7,1580,0,1911,0,98126,47.5256,-122.38,1580,6207,5.75
1,847100047,9/17/2014,4,2.75,3220,9825,2,0,0,3,8,3220,0,2012,0,98059,47.4863,-122.143,2820,8566,5.79
1,7519000170,7/23/2014,3,2.5,1300,5150,1.5,0,0,4,7,1300,0,1920,0,98117,47.6838,-122.362,1400,4017,6.9
1,5490210320,6/27/2014,5,2.5,2500,7200,1,0,0,4,7,1490,1010,1977,0,98052,47.6964,-122.12,1960,8325,6.615
1,1526059051,8/28/2014,2,2,1600,64468,1,0,0,3,7,1600,0,1950,0,98072,47.7344,-122.143,1950,64468,9.95
1,8928100205,3/31/2015,3,2,1820,6324,1,0,0,5,7,910,910,1945,0,98115,47.6823,-122.27,1850,6440,7.25
1,7749500250,8/27/2014,5,2.25,2600,8075,1.5,0,0,4,8,2600,0,1969,0,98092,47.2961,-122.188,2200,8800,2.65
1,6979940100,1/29/2015,5,2.5,3320,7266,2,0,0,3,9,3320,0,2000,0,98075,47.5862,-122.054,3060,10269,8.05
1,7229700165,12/2/2014,3,1.75,1740,29597,1,0,0,4,7,1740,0,1965,0,98059,47.481,-122.115,1560,20741,3.5
1,1612500090,3/31/2015,4,1,1100,7110,1,0,0,4,7,880,220,1907,0,98030,47.3858,-122.227,1150,7110,2.258
1,9268850030,7/7/2014,3,2.25,1620,1075,3,0,0,3,8,1540,80,2009,0,98027,47.5405,-122.026,1620,1237,4.2
1,9238500040,6/24/2014,3,2.5,2970,23100,1,0,0,3,7,1510,1460,1967,0,98072,47.7735,-122.133,2390,20300,4.0
1,2391600320,4/20/2015,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,4.8
1,2597450120,3/12/2015,5,2.75,3280,12673,1,0,0,4,9,2050,1230,1981,0,98006,47.5504,-122.146,3060,12847,9.65
1,7954300740,9/9/2014,4,2.5,2830,6163,2,0,0,3,9,2830,0,2000,0,98056,47.5227,-122.19,2730,6202,5.27
1,3543900380,4/9/2015,3,1,1460,5000,1,0,0,4,7,1460,0,1934,1960,98115,47.6837,-122.32,1790,4000,3.95
1,2787700180,1/12/2015,3,2,1250,8636,1,0,0,5,7,1250,0,1968,0,98059,47.5066,-122.159,1620,7653,3.2
1,8682220390,7/23/2014,2,2.5,2630,7957,2,0,0,3,8,2630,0,2003,0,98053,47.7106,-122.023,2305,7220,7.5
1,6844700810,9/1/2014,3,1.5,1050,4590,1,0,0,3,7,850,200,1949,0,98115,47.6943,-122.29,1770,5400,4.38924
1,369000881,9/5/2014,4,4,2680,6000,1,0,0,3,7,1380,1300,1962,2014,98199,47.6557,-122.388,1930,6000,7.77
1,8568700015,4/23/2015,3,1.75,1460,9998,1,0,0,3,7,960,500,1958,0,98028,47.7434,-122.242,1460,9998,4.46
1,795000620,9/24/2014,3,1,1080,6250,1,0,0,2,5,1080,0,1950,0,98168,47.5045,-122.33,1070,6250,1.15
1,2473350790,5/11/2015,3,1.75,1970,9512,1,0,0,3,8,1970,0,1968,0,98058,47.4545,-122.146,2250,10573,3.71
1,8818900300,10/2/2014,4,1,1260,4080,1,0,0,4,7,1260,0,1911,0,98105,47.6644,-122.324,1340,4080,6.18
1,2414600366,11/14/2014,1,1,720,7140,1,0,0,3,6,720,0,1930,0,98146,47.5119,-122.339,1140,7577,1.999
1,2143700830,3/12/2015,4,2.5,2100,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23,1340,12300,3.7
1,6899990230,7/1/2014,2,2.5,2510,14878,2,0,0,3,10,2510,0,1990,0,98011,47.7525,-122.205,3080,13594,6.0
1,7853220120,4/16/2015,4,2.5,2950,9010,2,0,0,3,9,2950,0,2004,0,98065,47.531,-121.86,3160,8813,6.1
1,8835200800,4/8/2015,2,1,930,2600,1,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161,1370,3488,2.81
1,1921069101,5/8/2015,3,1.75,2170,73616,1,0,0,3,7,2170,0,2008,0,98092,47.2881,-122.086,1710,297514,3.99
1,7686202580,2/13/2015,3,1,1270,7500,1,0,0,3,6,1270,0,1954,0,98198,47.4214,-122.316,1250,8000,1.969
